,KillDiff,FirstBlood,AssistDiff,GoldDiff,Dragon,Herald,ExperienceDiff,TowersDestroyed,MinionDiff,win
0,3,1,3,6.43,0,0,-0.08,0,-2,0
1,0,0,3,-29.08,0,0,-11.73,0,-66,0
2,-4,0,-10,-11.72,1,0,-10.33,0,-17,0
3,-1,0,-5,-13.21,0,1,-0.07,0,-34,0
4,0,0,-1,-10.04,0,0,2.3,0,-15,0
5,2,0,4,6.98,1,0,1.01,0,4,1
6,1,1,-2,24.11,1,0,15.63,0,61,1
7,-8,0,-8,-26.15,0,0,-8.0,0,52,0
8,0,0,3,-19.79,0,0,-7.71,0,-51,0
9,-1,1,1,-15.48,1,0,-15.74,0,-27,1
10,0,1,1,3.31,0,0,-15.85,0,15,0
11,0,1,-2,-15.05,0,1,-6.35,0,-31,0
12,6,1,10,32.74,1,0,16.59,0,-2,1
13,-5,0,-10,-34.14,0,1,-11.41,0,-19,0
14,0,1,1,-4.7,0,0,-1.87,0,-18,1
15,-4,0,-10,-19.96,0,0,-18.04,0,-28,0
16,8,1,6,52.28,0,0,33.78,0,53,1
17,-4,0,-3,-19.75,0,1,-13.45,0,-15,0
18,1,1,8,8.82,0,0,5.12,0,-15,1
19,-4,0,-4,-31.55,0,0,-27.73,0,-31,0
20,5,1,11,25.26,1,0,16.25,0,-11,1
21,-9,0,-9,-28.35,0,0,-28.21,0,-6,0
22,-2,0,-7,-12.54,0,0,-5.67,0,7,0
23,1,0,1,4.06,1,1,12.83,0,18,0
24,-3,0,-3,-10.2,0,0,4.93,0,11,1
25,-4,0,-9,-24.72,0,0,-10.67,0,-17,0
26,2,0,6,12.6,1,0,-0.55,0,-24,1
27,3,1,7,18.57,0,0,20.15,0,26,0
28,2,1,2,13.2,1,0,-4.13,0,-6,0
29,-5,0,-10,-32.82,1,0,-16.47,0,8,0
30,5,1,8,28.83,1,0,21.11,0,1,1
31,3,1,4,17.03,1,1,16.96,0,12,1
32,2,0,3,6.08,0,0,-0.85,0,-3,0
33,1,1,0,0.71,0,0,-3.59,0,-21,0
34,2,0,-1,2.75,0,0,8.72,0,-19,1
35,-1,0,-1,-8.09,0,0,6.38,0,17,0
36,-6,0,-3,-27.71,1,0,-11.25,0,-17,0
37,-1,1,-2,-17.3,0,1,-12.36,0,-11,0
38,-2,0,-4,-9.04,0,1,13.77,0,7,0
39,-3,0,-3,-16.83,0,1,-13.63,0,-23,0
40,-7,0,-13,-30.25,0,0,-18.33,0,9,0
41,4,0,5,30.04,0,0,23.0,0,46,1
42,3,0,8,15.74,1,0,7.61,0,10,1
43,0,1,-1,-10.36,0,0,-14.23,0,12,1
44,-1,1,0,0.16,0,1,4.33,0,9,0
46,9,1,7,50.96,0,0,33.1,0,55,1
47,4,1,0,27.56,1,0,16.83,1,18,1
48,-1,0,1,-9.77,0,1,-10.25,0,-38,1
49,0,0,2,-8.08,0,0,-16.55,0,-35,0
